price,amenities_count,ciudad,idx_original,kmeans_cluster,jer_cluster,dbscan_cluster,amenities,number_of_reviews_ltm,host_listings_count,estimated_occupancy_l365d,estimated_revenue_l365d
207.0,26,Amsterdam,1835,2,0,0,"[""Wifi"", ""Hangers"", ""Babysitter recommendations"", ""Shower gel"", ""Lock on bedroom door"", ""Private living room"", ""Hot water"", ""Bed linens"", ""TV with standard cable"", ""Iron"", ""Shampoo"", ""Coffee maker"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Host greets you"", ""Paid parking off premises"", ""Heating"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Refrigerator"", ""First aid kit"", ""Essentials""]",5,2.0,39,8073.0
62.0,26,Amsterdam,1002,2,0,0,"[""Backyard"", ""Smoking allowed"", ""Wifi"", ""Hangers"", ""Washer"", ""Lock on bedroom door"", ""Breakfast"", ""Hot water"", ""Bed linens"", ""Long term stays allowed"", ""Iron"", ""Cooking basics"", ""Shampoo"", ""Coffee maker"", ""Fire extinguisher"", ""Stove"", ""Host greets you"", ""Oven"", ""Heating"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Refrigerator"", ""Kitchen"", ""Essentials""]",70,2.0,255,15810.0
473.0,37,Amsterdam,2439,1,0,0,"[""Coffee"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Hangers"", ""Hot water kettle"", ""Shower gel"", ""Washer"", ""Piano"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""TV"", ""Hot water"", ""Bed linens"", ""Exercise equipment: free weights, yoga mat"", ""Iron"", ""Cooking basics"", ""Shampoo"", ""Dishes and silverware"", ""Coffee maker"", ""Body soap"", ""Baking sheet"", ""Crib"", ""Microwave"", ""Dedicated workspace"", ""Oven"", ""Freezer"", ""Heating"", ""Hair dryer"", ""Dishwasher"", ""Smoke alarm"", ""Refrigerator"", ""Baby bath"", ""Kitchen"", ""Essentials"", ""High chair""]",0,1.0,0,0.0
342.0,7,Amsterdam,4355,1,0,0,"[""Smoke alarm"", ""TV"", ""Wifi"", ""First aid kit"", ""Paid parking on premises"", ""Kitchen"", ""Washer""]",0,1.0,0,0.0
452.0,70,Amsterdam,3655,1,0,-1,"[""Coffee"", ""Rituals shampoo"", ""Bikes"", ""Toaster"", ""BBQ grill"", ""Free dryer \u2013 In unit"", ""Books and reading material"", ""Wifi"", ""Park view"", ""Hangers"", ""Babysitter recommendations"", ""Coffee maker: drip coffee maker"", ""Hot water kettle"", ""Children\u2019s dinnerware"", ""Paid street parking off premises"", ""Private backyard \u2013 Fully fenced"", ""Rituals body soap"", ""Stainless steel oven"", ""Shower gel"", ""Life size games"", ""Changing table - always at the listing"", ""Cleaning products"", ""Wine glasses"", ""Dining table"", ""TV"", ""Hot water"", ""Bed linens"", ""Game console: PS4"", ""Standalone high chair - always at the listing"", ""Outdoor playground"", ""Indoor fireplace: wood-burning"", ""Central heating"", ""Iron"", ""Room-darkening shades"", ""Fireplace guards"", ""Cooking basics"", ""Dishes and silverware"", ""Fire extinguisher"", ""Baking sheet"", ""Outdoor dining area"", ""Laundromat nearby"", ""EV charger"", ""Sonos Bluetooth sound system"", ""Drying rack for clothing"", ""Paid parking on premises"", ""Board games"", ""Window guards"", ""Host greets you"", ""Dedicated workspace"", ""Bathtub"", ""Freezer"", ""Barbecue utensils"", ""Mini fridge"", ""Children\u2019s bikes"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Induction stove"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Refrigerator"", ""First aid kit"", ""Kitchen"", ""Essentials"", ""Exterior security cameras on property"", ""Outdoor furniture"", ""Children\u2019s books and toys for ages 5-10 years old and 10+ years old"", ""Rituals conditioner"", ""Free washer \u2013 In unit""]",1,1.0,10,4520.0
145.0,26,Amsterdam,2894,2,0,0,"[""Toaster"", ""Wifi"", ""Hangers"", ""Hot water kettle"", ""Paid street parking off premises"", ""Lockbox"", ""Washer"", ""Dining table"", ""Hot water"", ""Bed linens"", ""Self check-in"", ""Cooking basics"", ""Dishes and silverware"", ""Laundromat nearby"", ""Microwave"", ""Dedicated workspace"", ""Coffee maker: french press"", ""Dishwasher"", ""Induction stove"", ""Smoke alarm"", ""Refrigerator"", ""First aid kit"", ""Kitchen"", ""Single oven"", ""Essentials"", ""Clothing storage: closet""]",2,1.0,16,2320.0
85.0,36,Amsterdam,132,0,0,0,"[""Shared hot tub - available all year, open specific hours"", ""Portable fans"", ""Wifi"", ""Hangers"", ""Clothing storage: wardrobe"", ""Lock on bedroom door"", ""Cleaning products"", ""Hot water"", ""Bed linens"", ""Long term stays allowed"", ""Single level home"", ""Other electric stove"", ""Paid washer \u2013 In unit"", ""Room-darkening shades"", ""Cooking basics"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""50 inch HDTV with Amazon Prime Video, Netflix"", ""Microwave"", ""Host greets you"", ""Dedicated workspace"", ""Bathtub"", ""Mini fridge"", ""In the Kitchenette there is a fridge with freezer refrigerator"", ""Heating"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Coffee maker: Nespresso"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Kitchen"", ""Essentials"", ""Paid dryer \u2013 In unit"", ""Elevator""]",13,3.0,101,8585.0
521.0,39,Amsterdam,5487,1,0,0,"[""Toaster"", ""Wifi"", ""Books and reading material"", ""Hangers"", ""Sound system"", ""Hot water kettle"", ""Washer"", ""Wine glasses"", ""Dining table"", ""TV"", ""Hot water"", ""Bed linens"", ""Iron"", ""Cooking basics"", ""Shampoo"", ""Dishes and silverware"", ""Coffee maker"", ""Body soap"", ""Outdoor dining area"", ""Laundromat nearby"", ""Microwave"", ""Air conditioning"", ""Drying rack for clothing"", ""Stove"", ""Board games"", ""Host greets you"", ""Dedicated workspace"", ""Oven"", ""Clothing storage"", ""Bathtub"", ""Freezer"", ""Heating"", ""Dishwasher"", ""Smoke alarm"", ""Refrigerator"", ""Kitchen"", ""Dryer"", ""Waterfront"", ""Patio or balcony""]",0,1.0,0,0.0
275.0,12,Amsterdam,747,2,0,0,"[""Heating"", ""Pets allowed"", ""Hair dryer"", ""TV"", ""Wifi"", ""Books and reading material"", ""Kitchen"", ""Sound system"", ""Essentials"", ""Iron"", ""Coffee maker"", ""Washer""]",2,1.0,20,5500.0
196.0,30,Amsterdam,168,0,0,0,"[""Lockbox"", ""Fast wifi \u2013 52 Mbps"", ""Hot water"", ""TV with standard cable"", ""Iron"", ""Private patio or balcony"", ""Cooking basics"", ""Dishes and silverware"", ""City skyline view"", ""Shampoo"", ""Coffee maker"", ""Fire extinguisher"", ""Self check-in"", ""Luggage dropoff allowed"", ""Microwave"", ""Paid parking on premises"", ""Gas stove"", ""Host greets you"", ""Dedicated workspace"", ""Oven"", ""Paid parking off premises"", ""Heating"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Smoke alarm"", ""Refrigerator"", ""Kitchen"", ""Essentials"", ""Free washer \u2013 In unit""]",4,1.0,31,6076.0
351.0,11,Amsterdam,1672,1,0,0,"[""Heating"", ""Garden view"", ""Courtyard view"", ""Smoke alarm"", ""Wifi"", ""First aid kit"", ""Park view"", ""Kitchen"", ""TV with standard cable"", ""Iron"", ""Washer""]",1,1.0,10,3510.0
337.0,40,Amsterdam,4093,1,0,0,"[""Coffee"", ""Toaster"", ""Wifi"", ""Hangers"", ""Hot water kettle"", ""Pocket wifi"", ""Shower gel"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""Hot water"", ""Bed linens"", ""Iron"", ""Private patio or balcony"", ""Cooking basics"", ""Shampoo"", ""Dishes and silverware"", ""Coffee maker"", ""Fire extinguisher"", ""Body soap"", ""Baking sheet"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Board games"", ""Ethernet connection"", ""Oven"", ""Other gas stove"", ""Clothing storage"", ""Freezer"", ""Heating"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Refrigerator"", ""First aid kit"", ""Kitchen"", ""Free washer \u2013 In unit""]",2,1.0,16,5392.0
162.0,38,Amsterdam,410,0,0,0,"[""Coffee"", ""Pets allowed"", ""Toaster"", ""Wifi"", ""Hangers"", ""Babysitter recommendations"", ""Children\u2019s dinnerware"", ""Children\u2019s books and toys"", ""Wine glasses"", ""Dryer \u2013 In building"", ""Baby safety gates"", ""Hot water"", ""Bed linens"", ""TV with standard cable"", ""Iron"", ""Room-darkening shades"", ""Dishes and silverware"", ""Coffee maker"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Crib"", ""Window guards"", ""Dedicated workspace"", ""Washer \u2013\u00a0In building"", ""Freezer"", ""Mini fridge"", ""Paid parking off premises"", ""Heating"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""High chair - available upon request"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Baby bath"", ""Refrigerator"", ""Essentials"", ""Baby monitor""]",42,1.0,255,41310.0
297.0,35,Amsterdam,4643,1,0,0,"[""Coffee"", ""Toaster"", ""Wifi"", ""Hangers"", ""Sound system"", ""Hot water kettle"", ""Washer"", ""Wine glasses"", ""Dining table"", ""TV"", ""Hot water"", ""Bed linens"", ""Room-darkening shades"", ""Cooking basics"", ""Shampoo"", ""Dishes and silverware"", ""Coffee maker"", ""Fire extinguisher"", ""Body soap"", ""Microwave"", ""Stove"", ""Paid parking on premises"", ""Dedicated workspace"", ""Oven"", ""Freezer"", ""Mini fridge"", ""Heating"", ""Hair dryer"", ""Dishwasher"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Refrigerator"", ""First aid kit"", ""Kitchen"", ""Conditioner""]",8,1.0,62,18414.0
190.0,50,Amsterdam,4604,0,0,0,"[""Coffee"", ""Portable fans"", ""Toaster"", ""Wifi"", ""Books and reading material"", ""Hangers"", ""Sound system"", ""Hot water kettle"", ""Washer"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""TV"", ""Hot water"", ""Bed linens"", ""Outdoor playground"", ""Single level home"", ""Iron"", ""Room-darkening shades"", ""Cooking basics"", ""Shampoo"", ""Dishes and silverware"", ""Coffee maker"", ""Blender"", ""Body soap"", ""Baking sheet"", ""Outdoor dining area"", ""Laundromat nearby"", ""Elevator"", ""Microwave"", ""Stove"", ""Drying rack for clothing"", ""Host greets you"", ""Dedicated workspace"", ""Oven"", ""Clothing storage"", ""Freezer"", ""Paid parking off premises"", ""Heating"", ""Hair dryer"", ""Private entrance"", ""Dishwasher"", ""Zanussi refrigerator"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Kitchen"", ""Essentials"", ""Patio or balcony"", ""Dryer"", ""Conditioner""]",6,1.0,47,8930.0
110.0,19,Amsterdam,4241,2,0,0,"[""Coffee"", ""Pets allowed"", ""Wifi"", ""Hot water kettle"", ""Lockbox"", ""Wine glasses"", ""TV"", ""Hot water"", ""Bed linens"", ""Self check-in"", ""Shampoo"", ""Coffee maker"", ""Body soap"", ""Mini fridge"", ""Heating"", ""Private entrance"", ""Smoke alarm"", ""Essentials"", ""Free parking on premises""]",69,1.0,255,28050.0
179.0,30,Amsterdam,1144,0,0,0,"[""Wifi"", ""Hangers"", ""Hot water kettle"", ""Lockbox"", ""Washer"", ""Piano"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""TV"", ""Hot water"", ""Bed linens"", ""Self check-in"", ""Cooking basics"", ""Dishes and silverware"", ""Microwave"", ""Stove"", ""Paid parking on premises"", ""Dedicated workspace"", ""Oven"", ""Freezer"", ""Heating"", ""Private entrance"", ""Dishwasher"", ""Coffee maker: Nespresso"", ""Smoke alarm"", ""Refrigerator"", ""Kitchen"", ""Essentials"", ""Clothing storage: closet""]",3,1.0,23,4117.0
580.0,52,Amsterdam,2458,1,0,0,"[""Coffee"", ""Portable fans"", ""Toaster"", ""BBQ grill"", ""Free dryer \u2013 In unit"", ""Books and reading material"", ""Wifi"", ""Hot water kettle"", ""Children\u2019s dinnerware"", ""Lockbox"", ""Children\u2019s books and toys"", ""Shower gel"", ""Stainless steel oven"", ""Piano"", ""Fire pit"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""Hot water"", ""Bed linens"", ""Central heating"", ""Window AC unit"", ""Iron"", ""Room-darkening shades"", ""Cooking basics"", ""Shampoo"", ""Dishes and silverware"", ""Self check-in"", ""Sonos sound system"", ""Body soap"", ""Outdoor dining area"", ""High chair"", ""Trash compactor"", ""Drying rack for clothing"", ""Board games"", ""Bidet"", ""Bathtub"", ""Freezer"", ""Barbecue utensils"", ""Outdoor kitchen"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Coffee maker: Nespresso"", ""Smoke alarm"", ""Refrigerator"", ""Kitchen"", ""Essentials"", ""Outdoor furniture"", ""65 inch HDTV"", ""Free washer \u2013 In unit"", ""Patio or balcony""]",6,1.0,47,27260.0
393.0,18,Amsterdam,534,1,0,0,"[""Heating"", ""Hair dryer"", ""Smoke alarm"", ""Wifi"", ""First aid kit"", ""Hot water"", ""Kitchen"", ""Hangers"", ""TV with standard cable"", ""Lockbox"", ""Essentials"", ""Dryer"", ""Iron"", ""Self check-in"", ""Shampoo"", ""Paid parking off premises"", ""Fire extinguisher"", ""Washer""]",2,1.0,16,6288.0
183.0,17,Amsterdam,501,2,0,0,"[""Heating"", ""Body soap"", ""Cleaning products"", ""Refrigerator"", ""Extra pillows and blankets"", ""Drying rack for clothing"", ""Wifi"", ""Hot water"", ""Bed linens"", ""Kitchen"", ""TV with standard cable"", ""Microwave"", ""Essentials"", ""Dedicated workspace"", ""Dishes and silverware"", ""Coffee maker"", ""Washer""]",1,1.0,8,1464.0
304.0,22,Amsterdam,655,1,0,0,"[""Paid parking garage off premises"", ""Backyard"", ""Toaster"", ""BBQ grill"", ""Wifi"", ""Hot water kettle"", ""TV"", ""Bed linens"", ""Iron"", ""Private patio or balcony"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Body soap"", ""Microwave"", ""Drying rack for clothing"", ""Host greets you"", ""Freezer"", ""Heating"", ""Hair dryer"", ""Smoke alarm"", ""Refrigerator"", ""Essentials""]",1,3.0,8,2432.0
371.0,41,Amsterdam,1905,1,0,0,"[""Canal view"", ""Coffee"", ""Toaster"", ""Free dryer \u2013 In unit"", ""Books and reading material"", ""Wifi"", ""Hangers"", ""Hot water kettle"", ""Paid street parking off premises"", ""Lockbox"", ""Shower gel"", ""Clothing storage: wardrobe"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""Bed linens"", ""Single level home"", ""Iron"", ""Private patio or balcony"", ""Self check-in"", ""Dishes and silverware"", ""Coffee maker"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Body soap"", ""Crib"", ""45 inch TV with Netflix, Chromecast"", ""Drying rack for clothing"", ""Baby bath - available upon request"", ""Freezer"", ""Mini fridge"", ""Heating"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Portable air conditioning"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Refrigerator"", ""Essentials"", ""Free washer \u2013 In unit""]",72,1.0,255,94605.0
263.0,41,Amsterdam,2847,1,0,0,"[""Record player"", ""Toaster"", ""Wifi"", ""Books and reading material"", ""Hangers"", ""Sound system"", ""Hot water kettle"", ""Pocket wifi"", ""Washer"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""TV"", ""Hot water"", ""Bed linens"", ""Long term stays allowed"", ""Iron"", ""Room-darkening shades"", ""Cooking basics"", ""Blender"", ""Laundromat nearby"", ""Microwave"", ""Stove"", ""Drying rack for clothing"", ""Host greets you"", ""Dedicated workspace"", ""Oven"", ""Clothing storage"", ""Freezer"", ""Heating"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Refrigerator"", ""Cleaning available during stay"", ""Kitchen"", ""Outdoor furniture"", ""Dryer"", ""Patio or balcony""]",3,1.0,23,6049.0
143.0,34,Amsterdam,2820,0,0,0,"[""Paid washer \u2013 In building"", ""Portable fans"", ""Wifi"", ""Hangers"", ""Hot water kettle"", ""Shared patio or balcony"", ""Shower gel"", ""Breakfast"", ""TV"", ""Hot water"", ""Bed linens"", ""Iron"", ""Shampoo"", ""Coffee maker"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Body soap"", ""Paid dryer \u2013 In building"", ""Host greets you"", ""Dedicated workspace"", ""Clothing storage"", ""Mini fridge"", ""Paid parking off premises"", ""Heating"", ""Hair dryer"", ""Safe"", ""Extra pillows and blankets"", ""Smoke alarm"", ""First aid kit"", ""Refrigerator"", ""Essentials"", ""Exterior security cameras on property"", ""Waterfront"", ""Conditioner""]",56,15.0,255,36465.0
395.0,41,Amsterdam,1951,1,0,0,"[""Coffee"", ""Backyard"", ""Toaster"", ""Wifi"", ""Hangers"", ""Hot water kettle"", ""Washer"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""Hot water"", ""Bed linens"", ""TV with standard cable"", ""Iron"", ""Cooking basics"", ""Dishes and silverware"", ""Fire extinguisher"", ""Body soap"", ""Baking sheet"", ""Outdoor dining area"", ""Air conditioning"", ""Stove"", ""Paid parking on premises"", ""Dedicated workspace"", ""Oven"", ""Clothing storage"", ""Bathtub"", ""Freezer"", ""Paid parking off premises"", ""Heating"", ""Sun loungers"", ""Hair dryer"", ""Dishwasher"", ""Smoke alarm"", ""Refrigerator"", ""Cleaning available during stay"", ""Kitchen"", ""Essentials"", ""Outdoor furniture"", ""Dryer"", ""Patio or balcony""]",0,1.0,0,0.0
145.0,38,Amsterdam,4331,0,0,0,"[""Toaster"", ""Wifi"", ""Hangers"", ""Hot water kettle"", ""Lockbox"", ""Washer"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""Hot water"", ""Bed linens"", ""Self check-in"", ""Room-darkening shades"", ""Cooking basics"", ""Dishes and silverware"", ""Coffee maker"", ""Blender"", ""Fire extinguisher"", ""Outdoor dining area"", ""Microwave"", ""Paid parking on premises"", ""TV with Chromecast, Netflix, premium cable"", ""Oven"", ""Other gas stove"", ""Clothing storage"", ""Freezer"", ""Heating"", ""Hair dryer"", ""Private entrance"", ""Dishwasher"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Refrigerator"", ""First aid kit"", ""Kitchen"", ""Patio or balcony""]",7,1.0,55,7975.0
340.0,40,Amsterdam,3038,1,0,0,"[""Portable fans"", ""Toaster"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Hangers"", ""Hot water kettle"", ""Children\u2019s dinnerware"", ""Paid street parking off premises"", ""Shower gel"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""Hot water"", ""Bed linens"", ""Outdoor playground"", ""55 inch TV with Netflix, premium cable"", ""Central heating"", ""Iron"", ""Private patio or balcony"", ""Cooking basics"", ""Dishes and silverware"", ""Blender"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Gas stove"", ""Dedicated workspace"", ""Bathtub"", ""Freezer"", ""Mini fridge"", ""Hair dryer"", ""Dishwasher"", ""Coffee maker: Nespresso"", ""Atag refrigerator"", ""Extra pillows and blankets"", ""Kitchen"", ""Essentials"", ""Free washer \u2013 In unit"", ""Cleaning available during stay"", ""Clothing storage: closet""]",7,1.0,55,18700.0
293.0,18,Amsterdam,2342,1,0,0,"[""Outdoor dining area"", ""Bay view"", ""Hot tub"", ""Smoke alarm"", ""TV"", ""Wifi"", ""Lake view"", ""BBQ grill"", ""Park view"", ""Kitchen"", ""Outdoor furniture"", ""Indoor fireplace"", ""Free parking on premises"", ""City skyline view"", ""Coffee maker"", ""Patio or balcony"", ""Fire extinguisher"", ""Washer""]",0,1.0,0,0.0
